week,new_signups,avg_hours_per_user,share_drama,share_comedy,share_action,share_documentary
2019-01-07,1124,8.5,0.3162,0.2828,0.2512,0.1498
2019-01-14,1270,8.68,0.312,0.2844,0.2448,0.1589
2019-01-21,1212,8.55,0.3168,0.2852,0.2555,0.1425
2019-01-28,1062,8.4,0.3247,0.2838,0.2396,0.1519
2019-02-04,1312,8.62,0.3284,0.2634,0.2562,0.152
2019-02-11,1330,8.49,0.3244,0.2746,0.2507,0.1503
2019-02-18,1194,8.92,0.3217,0.276,0.244,0.1584
2019-02-25,1175,9.42,0.3186,0.2796,0.2377,0.1641
2019-03-04,1186,8.82,0.3209,0.2813,0.25,0.1477
2019-03-11,1112,8.81,0.3222,0.2784,0.2487,0.1507
2019-03-18,1299,9.23,0.3283,0.2812,0.2467,0.1437
2019-03-25,1151,9.21,0.3111,0.2893,0.251,0.1487
2019-04-01,1195,9.13,0.3189,0.2725,0.2508,0.1578
2019-04-08,1129,8.77,0.3187,0.2798,0.2497,0.1518
2019-04-15,1144,9.09,0.3117,0.2822,0.2467,0.1594
2019-04-22,1085,9.33,0.3113,0.2823,0.2601,0.1463
2019-04-29,1313,8.59,0.3188,0.2847,0.2528,0.1437
2019-05-06,1186,8.87,0.3186,0.2914,0.244,0.146
2019-05-13,1287,8.33,0.3195,0.2897,0.2461,0.1447
2019-05-20,1201,8.5,0.3225,0.2664,0.2526,0.1584
2019-05-27,1138,8.25,0.3156,0.2787,0.2603,0.1454
2019-06-03,1171,8.76,0.3163,0.2701,0.2512,0.1624
2019-06-10,1150,8.34,0.3312,0.2754,0.2458,0.1476
2019-06-17,1201,8.81,0.3208,0.277,0.2505,0.1516
2019-06-24,1166,8.7,0.3182,0.2802,0.2521,0.1496
2019-07-01,1173,8.51,0.3164,0.288,0.2487,0.1469
2019-07-08,1076,7.62,0.3184,0.2941,0.2435,0.1441
2019-07-15,1127,8.24,0.3276,0.2863,0.2494,0.1366
2019-07-22,1349,8.34,0.3124,0.2706,0.2514,0.1656
2019-07-29,1140,8.33,0.3264,0.2777,0.2441,0.1517
2019-08-05,1105,7.69,0.3247,0.276,0.2558,0.1435
2019-08-12,1230,7.99,0.3217,0.2822,0.253,0.143
2019-08-19,1327,7.76,0.325,0.2797,0.2476,0.1477
2019-08-26,1069,7.77,0.315,0.2731,0.2608,0.1511
2019-09-02,1181,8.38,0.3251,0.291,0.2386,0.1452
2019-09-09,1143,7.69,0.3183,0.2804,0.2446,0.1567
2019-09-16,1042,7.93,0.3246,0.2728,0.2448,0.1579
2019-09-23,1266,8.23,0.3224,0.2637,0.2597,0.1542
2019-09-30,1198,7.7,0.332,0.278,0.2486,0.1415
2019-10-07,1206,7.86,0.3315,0.2714,0.2559,0.1411
2019-10-14,1132,7.94,0.3237,0.2686,0.2487,0.159
2019-10-21,1241,7.94,0.3122,0.2906,0.2545,0.1427
2019-10-28,1151,7.51,0.3199,0.2798,0.2527,0.1475
2019-11-04,1187,8.0,0.3223,0.2854,0.2486,0.1436
2019-11-11,1100,8.48,0.3214,0.2887,0.2391,0.1509
2019-11-18,1091,7.51,0.3181,0.275,0.2595,0.1474
2019-11-25,1320,8.4,0.3297,0.2719,0.2513,0.1471
2019-12-02,1154,8.2,0.3133,0.2841,0.2482,0.1545
2019-12-09,1226,8.0,0.3227,0.2739,0.2516,0.1519
2019-12-16,1197,8.99,0.3322,0.2765,0.2531,0.1381
2019-12-23,1160,8.62,0.3313,0.2764,0.24,0.1523
2019-12-30,1154,8.01,0.3349,0.2727,0.2457,0.1467
2020-01-06,1257,8.53,0.3167,0.2883,0.2481,0.1469
2020-01-13,1173,8.77,0.3265,0.2755,0.2549,0.143
